D00059; Dopar (TN); DRD1 [HSA:1812] [KO:K04144]  |  DRD2 [HSA:1813] [KO:K04145]  |  DRD3 [HSA:1814] [KO:K04146]  |  DRD4 [HSA:1815] [KO:K04147]  |  DRD5 [HSA:1816] [KO:K05840];; 
D00060; Dextran (INN);;; 
D00061; Klinit (TN);;;
D00062; Bronchitol (TN);;; 
D00063; Tobrex (TN); 30S ribosomal subunit;; 
D00064; l-Menthol (TN); TRPM8 [HSA:79054] [KO:K04983]  |  TRPA1 [HSA:8989] [KO:K04984];;
D00065; L-Isoleucine (JP17);;; 
D00066; Prometrium (TN); NR3C3 (PGR) [HSA:5241] [KO:K08556]; Enzyme: CYP3A4 [HSA:1576], CYP2C19 [HSA:1557]; 
D00067; Estrone (TN); NR3A1 (ESR1) [HSA:2099] [KO:K08550]  |  NR3A2 (ESR2) [HSA:2100] [KO:K08551];;
D00068; Dehydrated ethanol (TN);; Enzyme: CYP2D6 [HSA:1565], CYP2E1 [HSA:1571];
D00069; Chocola A (TN);; Enzyme: CYP2C8 [HSA:1558]; 
D00070; Folicet (TN);;; 
D00071; Fibronectin (human plasma) (JAN);;;
D00072; Cytorest (TN);;;
D00073; Eldoquin (TN); TYR [HSA:7299] [KO:K00505];; 
D00074; INOmax (TN);;; 
D00075; Testim (TN); NR3C4 (AR) [HSA:367] [KO:K08557]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551];
D00076; Nor adrenalin (TN); ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]  |  ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]  |  ADRB1 [HSA:153] [KO:K04141]  |  ADRB2 [HSA:154] [KO:K04142]  |  ADRB3 [HSA:155] [KO:K04143]; Enzyme: MAOA [HSA:4128]; 
D00077; Ulesfia (TN);;;
D00078; Propylene glycol (TN);;;
D00079; Prostin E2 (TN); PTGER2 [HSA:5732] [KO:K04259];; 
D00080; Chondroitin sulfate A (JAN);;;
D00081; Prosmon (TN); PTGFR [HSA:5737] [KO:K04262];; 
D00082; Pyridoxamine phosphate dihydrate;;;
D00083; Nitrogen (TN);;;
D00084; Dextrin (JP17/NF);;;
D00085; Insulin (JAN/USP); INSR (CD220) [HSA:3643] [KO:K04527];;
D00086; Thiotomin (TN);;;
D00087; Bestatin (TN); RNPEP [HSA:6051] [KO:K01260];;
D00088; Plenadren (TN); NR3C1 (GR) [HSA:2908] [KO:K05771]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551]; 
D00089; Syntocinon (TN); OXTR [HSA:5021] [KO:K04229];; 
D00090; Thrombostat (TN);;; 
D00091; Vanillin (NF);;;
D00092; Coptis rhizome (TN);;;
D00093; Avicel PH (TN);;;
D00094; Vesanoid (TN); NR1B1 (RARA) [HSA:5914] [KO:K08527]  |  NR1B2 (RARB) [HSA:5915] [KO:K08528]  |  NR1B3 (RARG) [HSA:5916] [KO:K08529];;
D00095; Epipen (TN); ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]  |  ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]  |  ADRB1 [HSA:153] [KO:K04141]  |  ADRB2 [HSA:154] [KO:K04142]  |  ADRB3 [HSA:155] [KO:K04143]; Enzyme: COMT [HSA:1312], MAO [HSA:4128 4129]; 
D00096; Sorbitol 3% in plastic container (TN);;; 
D00097; Salicylic acid (TN);;;
D00098; dl-Camphor (JP17); TRPA1 [HSA:8989] [KO:K04984];; 
D00099; Cetanol (TN);;;
D00100; Vitamin K2 (TN);;; 
D00101; Pitressin (TN); AVPR1A [HSA:552] [KO:K04226]  |  AVPR1B [HSA:553] [KO:K04227]  |  AVPR2 [HSA:554] [KO:K04228];; 
D00102; Nitrous oxide (TN);;; 
D00103; Tartaric acid (TN);;;
D00104; Econochlor (TN); 50S ribosomal subunit; Enzyme: CYP2C19 [HSA:1557];
D00105; Vivelle (TN); NR3A1 (ESR1) [HSA:2099] [KO:K08550]  |  NR3A2 (ESR2) [HSA:2100] [KO:K08551]; Enzyme: CYP3A4 [HSA:1576], CYP1B1 [HSA:1545], CYP1A2 [HSA:1544]; 
D00106; Epoprostenol (TN); PTGIR [HSA:5739] [KO:K04263];; 
D00107; Protopic (TN); calcineurin [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]; Enzyme: CYP3A4 [HSA:1576]; 
D00108; Cadex (TN);;; 
D00109; Easprin (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987];; 
D00110; Cocaine (TN); SLC6A4 (HTT) [HSA:6532] [KO:K05037]  |  SLC6A3 (DAT1) [HSA:6531] [KO:K05036]  |  SLC6A2 (NAT1) [HSA:6530] [KO:K05035]  |  KCNH2 [HSA:3757] [KO:K04905]  |  SCN10A [HSA:6336] [KO:K04842]  |  SCN1A [HSA:6323] [KO:K04833]  |  SCN2A [HSA:6326] [KO:K04834]  |  SCN3A [HSA:6328] [KO:K04836]  |  SCN4A [HSA:6329] [KO:K04837]  |  SCN5A [HSA:6331] [KO:K04838]  |  SCN8A [HSA:6334] [KO:K04840]  |  SCN9A [HSA:6335] [KO:K04841];;
D00111; Lactate (TN);;;
D00112; Ouabain octahydrate; ATP1 [HSA:476 477 478 480 481 482 483 23439] [KO:K01539 K01540]; Transporter: SLCO1A2 [HSA:6579]; 
D00113; Atropen (TN); CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133];; 
D00114; Fructon (TN);;;
D00115; Gelfilm (TN);;;
D00116; Glucagon (TN); GCGR [HSA:2642] [KO:K04583];; 
D00117; Creodon (TN);;;
D00118; Naprosyn (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]; Enzyme: CYP2C9 [HSA:1559], CYP1A2 [HSA:1544]; 
D00119; Stearic acid (TN);;;
D00120; Clinoril (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987];; 
D00121; Allantoin (JAN/USP);;;
D00122; Calderol (TN);;; 
D00123; Cyanamide (TN); ALDH [HSA:217 219 224] [KO:K00128];; 
D00124; Ephedrine (TN); ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]  |  ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]  |  ADRB1 [HSA:153] [KO:K04141]  |  ADRB2 [HSA:154] [KO:K04142]  |  ADRB3 [HSA:155] [KO:K04143];; 
D00125; Vepesid (TN); TOP2 [HSA:7153 7155] [KO:K03164]; Enzyme: CYP3A4 [HSA:1576] |  Transporter: ABCC2 [HSA:1244]; 
D00126; Motrin (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]; Enzyme: CYP2C9 [HSA:1559];
D00127; Feldene (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]; Enzyme: CYP2C9 [HSA:1559], CYP3A4 [HSA:1576]; 
D00128; Bacitracin (TN); undecaprenyl-diphosphate phosphatase [KO:K06153 K19302];; 
D00129; Rocaltrol (TN); NR1I1 (VDR) [HSA:7421] [KO:K08539];; 
D00130; Dolobid (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987];; 
D00131; Antabuse (TN); ALDH [HSA:217 219 224] [KO:K00128];;
D00132; Orudis (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987];;
D00133; Resorcin (TN);;;
D00134; Albenza (TN); fumarate reductase  |  microtubule-organizing inhibitor;; 
D00135; Capastat sulfate (TN); 50S ribosomal subunit  |  30S ribosomal subunit;; 
D00136; Haldol (TN); DRD2 [HSA:1813] [KO:K04145]; Enzyme: CYP2D6 [HSA:1565], CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551], CYP1A2 [HSA:1544]; 
D00137; Isopro (TN);;;
D00138; Transderm scop (TN); CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133];; 
D00139; Oxsoralen (TN);; Enzyme: CYP2A6 [HSA:1548], CYP1A1 [HSA:1543], CYP1A2 [HSA:1544];
D00140; T-stat (TN); 50S ribosomal subunit; Enzyme: CYP3A4 [HSA:1576], CYP3A7 [HSA:1551] |  Transporter: OAT2 [HSA:10864];
D00141; Indocin (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]; Enzyme: CYP2C19 [HSA:1557];
D00142; Otrexup (TN); DHFR [HSA:1719 200895] [KO:K00287]; Transporter: SLC22A6 [HSA:9356], SLC22A8 [HSA:9376], SLCO1A2 [HSA:6579], ABCG2 [HSA:9429], ABCC2 [HSA:1244], ABCC3 [HSA:8714], ABCC4 [HSA:10257]; 
D00143; Pregnenolone (JAN/INN);;;
D00144; Pyrazinamide (TN);;; 
D00145; Trimpex (TN); dihydrofolate reductase [KO:K13938];;
D00146; Acthar (TN); MC1R [HSA:4157] [KO:K04199]  |  MC2R [HSA:4158] [KO:K04200]  |  MC3R [HSA:4159] [KO:K04201]  |  MC4R [HSA:4160] [KO:K04202]  |  MC5R [HSA:4161] [KO:K04203];; 
D00147; Hyoscyamine (USP); CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133];; 
D00148; Vitamin K1 (TN);;; 
D00149; p-Chlorophenol;;;
D00150; Angiotensin II (INN); AGTR1 [HSA:185] [KO:K04166]  |  AGTR2 [HSA:186] [KO:K04167];;
D00151; Ponstel (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]; Enzyme: CYP2C9 [HSA:1559]; 
D00152; Dilospan S (TN); COMT [HSA:1312] [KO:K00545];;
D00153; Teslac (TN); CYP19A1 (ARO) [HSA:1588] [KO:K07434];;
D00154; Santonin (TN);;;
D00155; Nipent (TN); ADA [HSA:100] [KO:K01488];; 
D00156; Hidermart (TN); HSD11B1 [HSA:3290] [KO:K15680];;
D00157; Glycyrrhizic acid;;;
D00158; Tolectin (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987];; 
D00159; Frentizole (USAN/INN);;;
D00160; Amicar (TN); PLG [HSA:5340] [KO:K01315];; 
D00161; Purinethol (TN);;;
D00162; Pamisyl (TN);;; 
D00163; Chenix (TN); NR1H4 (FXR) [HSA:9971] [KO:K08537];; 
D00164; Aquasol A (TN); NR1B1 (RARA) [HSA:5914] [KO:K08527]  |  NR1B2 (RARB) [HSA:5915] [KO:K08528]  |  NR1B3 (RARG) [HSA:5916] [KO:K08529]; Enzyme: CYP2C8 [HSA:1558]; 
D00165; Cortifoam (TN); NR3C1 (GR) [HSA:2908] [KO:K05771]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551]; 
D00166; Rubramin PC (TN);;; 
D00167; BAL (TN);;;
D00168; Depocyt (TN); DNA polymerase;; 
D00169; Meclomen (TN); PTGS1 (COX1) [HSA:5742] [KO:K00509]  |  PTGS2 (COX2) [HSA:5743] [KO:K11987]  |  PLA2G [HSA:26279 30814 391013 50487 5319 5320 5322 64600 81579 8399 84647] [KO:K01047];; 
D00170; Cantabiline (TN);;;
D00171; Inulin and sodium chloride (TN);;;
D00172; Novo- seven (TN);;; 
D00173; Evodia fruit (TN);;;
D00174; gamma-Amino-beta-hydroxybutyric acid (JAN);;;
D00175; Mucodyne (TN);;;
D00176; Relefact TRH (TN); TRHR [HSA:7201] [KO:K04282];;
D00177; Cabagin U (TN);;; 
D00178; Octopamine hydrochloride (JAN);;; 
D00179; Tetrabol (TN);;;
D00180; Vitaros (TN); PTGER1 [HSA:5731] [KO:K04258];; 
D00181; Novastan (TN); F2 [HSA:2147] [KO:K01313]; Enzyme: CYP3A4 [HSA:1576]; 
D00182; Primolut-N (TN); NR3C3 (PGR) [HSA:5241] [KO:K08556];;
D00183; NegGram (TN); DNA gyrase [KO:K02469 K02470]  |  topoisomerase IV [KO:K02621 K02622];;
D00184; Sandimmune (TN); calcineurin [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551] |  Transporter: ABCB1 [HSA:5243];
D00185; Estriel (TN); NR3A1 (ESR1) [HSA:2099] [KO:K08550]  |  NR3A2 (ESR2) [HSA:2100] [KO:K08551];; 
D00186; Cipro (TN); DNA gyrase [KO:K02469 K02470]  |  topoisomerase IV [KO:K02621 K02622]; Enzyme: CYP1A2 [HSA:1544] |  Transporter: SLC22A6 [HSA:9356], SLC22A8 [HSA:9376];
D00187; Drisdol (TN); NR1I1 (VDR) [HSA:7421] [KO:K08539];; 
D00188; Delta-D (TN); NR1I1 (VDR) [HSA:7421] [KO:K08539];; 
D00189; Diol (TN);;;
D00190; Rutin trihydrate;;;
D00191; Nascobal (TN);;;
D00192; Phenylethyl alcohol (USP);;;
D00193; Ilopan (TN); CHRM2 [HSA:1129] [KO:K04130]  |  CHRM3 [HSA:1131] [KO:K04131];; 
D00194; Limonene;;;
D00195; Codeine hydrate; OPRM1 [HSA:4988] [KO:K04215]; Enzyme: CYP2D6 [HSA:1565], CYP3A4 [HSA:1576], UGT2B7 [HSA:7364];
D00196; Eserine (TN); ACHE [HSA:43] [KO:K01049];; 
D00197; Serpalan (TN); SLC18A1 (VMAT1) [HSA:6570] [KO:K08155]  |  SLC18A2 (VMAT2) [HSA:6571] [KO:K08155];;
D00198; Tsuruselpi S (TN);;; 
D00199; Ajimalin (TN); SCN1A [HSA:6323] [KO:K04833]  |  SCN2A [HSA:6326] [KO:K04834]  |  SCN3A [HSA:6328] [KO:K04836]  |  SCN4A [HSA:6329] [KO:K04837]  |  SCN5A [HSA:6331] [KO:K04838]  |  SCN8A [HSA:6334] [KO:K04840]  |  SCN9A [HSA:6335] [KO:K04841]; Enzyme: CYP2D6 [HSA:1565]; 
D00200; Cianidanol (JAN/INN);;;
D00201; Sumycin (TN); 30S ribosomal subunit;; 
D00202; Mycostatin (TN); Ergosterol;;
D00203; Fungizone (TN); Ergosterol;; 
D00204; Omnipen (TN); penicillin binding protein;; 
D00205; Terramycin (TN); 30S ribosomal subunit;; 
D00206; IPM; penicillin binding protein;; 
D00208; Muamycin (TN); DNA synthesis inhibitor;; 
D00209; Grisactin V (TN);;; 
D00210; Noroxin (TN); DNA gyrase [KO:K02469 K02470]  |  topoisomerase IV [KO:K02621 K02622]; Enzyme: CYP1A2 [HSA:1544];
D00211; Rimactane (TN); DNA-directed RNA polymerase subunit beta [KO:K03043]; Enzyme: CYP3A4 [HSA:1576] |  Transporter: SLCO1B1 [HSA:10599];
D00212; Vancocin (TN); Peptidoglycan (D-Ala-D-Ala);; 
D00213; Fucidin leo (TN);;; 
D00214; Cosmegen (TN); DNA (guanine);; 
D00215; Mobisy (TN);;;
D00216; Precose (TN); GAA [HSA:2548] [KO:K12316]  |  GANC [HSA:2595] [KO:K12317]  |  MGAM [HSA:8972] [KO:K12047]  |  AMY [HSA:279 280] [KO:K01176];; 
D00217; Tylenol (TN);; Enzyme: CYP2E1 [HSA:1571], CYP2A6 [HSA:1548], CYP3A4 [HSA:1576], CYP1A2 [HSA:1544];
D00218; Diamox (TN); CA [HSA:759 760 761 762 763 11238 765 766 767 768 771 377677 23632] [KO:K01672 K18245 K18246];; 
D00219; Dymelor (TN); ABCC8 (SUR1) [HSA:6833] [KO:K05032];; 
D00220; Lithostat (TN); urease [KO:K01428 K01429 K01430 K14048];;
D00221; Mucomyst (TN);;;
D00222; Zovirax (TN); DNA polymerase; Transporter: SLC22A1 [HSA:6580], SLC22A6 [HSA:9356], SLC22A8 [HSA:9376]; 
D00223; LCM; 50S ribosomal subunit;; 
D00224; Zyloprim (TN); XDH [HSA:7498] [KO:K00106];;
D00225; Xanax (TN); GABRA/GABRB/GABRD/GABRE/GABRG/GABRP/GABRQ [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]; Enzyme: CYP3A [HSA:1576 1577 1551];
D00226; Ethyol (TN);;;
D00227; Theophylline ethylenediamine (TN); ADORA1 [HSA:134] [KO:K04265]  |  ADORA2A [HSA:135] [KO:K04266]  |  PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]; Enzyme: CYP1A2 [HSA:1544]; 
D00228; Asendin (TN); SLC6A4 (HTT) [HSA:6532] [KO:K05037]  |  SLC6A2 (NAT1) [HSA:6530] [KO:K05035]; Enzyme: CYP2D6 [HSA:1565], CYP1A2 [HSA:1544], CYP2C19 [HSA:1557], CYP3A4 [HSA:1576]; 
D00229; Pasetocin (TN); penicillin binding protein;; 
D00230; Amoxicillin - clavulanate potassium mixt;;; 
D00231; Amcoral (TN); PDE3 [HSA:5139 5140] [KO:K19021 K13296];; 
D00232; Valpin 50 (TN); CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133];; 
D00233; Anthraderm (TN);;;
D00234; Hismanal (TN); HRH1 [HSA:3269] [KO:K04149]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551]; 
D00235; Tenormin (TN); ADRB1 [HSA:153] [KO:K04141]; Enzyme: CYP2D6 [HSA:1565]; 
D00236; Mepron (TN);;; 
D00237; Ridaura (TN);;; 
D00238; Imuran (TN);;;
D00240; Azactam (TN); penicillin binding protein;; 
D00241; Lioresal (TN); GABBR [HSA:2550 9568] [KO:K04615];; 
D00242; Tessalon perles (TN);;;
D00243; Benzquinamide (USAN);;;
D00244; Rinderon (TN); NR3C1 (GR) [HSA:2908] [KO:K05771]; Enzyme: CYP3A4 [HSA:1576]; 
D00245; Dulcolax (TN);;; 
D00246; Uceris (TN); NR3C1 (GR) [HSA:2908] [KO:K05771]; Enzyme: CYP3A4 [HSA:1576]; 
D00247; Bumex (TN); SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]  |  SLC12A2 (NKCC1) [HSA:6558] [KO:K10951]; Transporter: SLC22A8 [HSA:9376]; 
D00248; Myleran (TN); DNA;;
D00249; Miacalcin (TN); CALCR [HSA:799] [KO:K04576];; 
D00250; Zostrix (TN); TRPV1 [HSA:7442] [KO:K05222];; 
D00251; Capoten (TN); ACE (CD143) [HSA:1636] [KO:K01283]; Transporter: SLC15A1 [HSA:6564], SCL15A2 [HSA:6565], SLC22A6 [HSA:9356];
D00252; Tegretol (TN); SCN1A [HSA:6323] [KO:K04833]  |  SCN2A [HSA:6326] [KO:K04834]  |  SCN3A [HSA:6328] [KO:K04836]  |  SCN4A [HSA:6329] [KO:K04837]  |  SCN5A [HSA:6331] [KO:K04838]  |  SCN8A [HSA:6334] [KO:K04840]  |  SCN9A [HSA:6335] [KO:K04841]; Enzyme: CYP3A4 [HSA:1576], CYP2C8 [HSA:1558], CYP2B6 [HSA:1555];
D00253; Sinemet (TN);;; 
D00254; Bicnu (TN);;; 
D00255; Coreg (TN); ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]  |  ADRB1 [HSA:153] [KO:K04141]  |  ADRB2 [HSA:154] [KO:K04142]  |  ADRB3 [HSA:155] [KO:K04143]; Enzyme: CYP2D6 [HSA:1565], CYP2C9 [HSA:1559], CYP3A4 [HSA:1576], CYP1A2 [HSA:1544], CYP2E1 [HSA:1571];
D00256; Alenfral (TN); penicillin binding protein; Transporter: SLC22A8 [HSA:9376]; 
D00257; Sumacef (TN); penicillin binding protein; Transporter: SLC15A1 [HSA:6564], SCL15A2 [HSA:6565]; 
D00258; Suprax (TN); penicillin binding protein;; 
D00259; Precef (TN); penicillin binding protein;; 
D00260; CTT; penicillin binding protein;; 
D00261; Cefzil (TN); penicillin binding protein;; 
D00262; Cefuroxime (TN); penicillin binding protein;; 
D00263; Keflex (TN); penicillin binding protein; Transporter: SLC15A1 [HSA:6564], SCL15A2 [HSA:6565]; 
D00264; Velosef (TN); penicillin binding protein;; 
D00265; Noctec (TN);;; 
D00266; Leukeran (TN); DNA;; 
D00267; Libritabs (TN); GABRA/GABRB/GABRD/GABRE/GABRG/GABRP/GABRQ [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192];; 
D00268; Trancopal (TN);;; 
D00269; TACE (TN);;; 
D00270; Thorazine (TN); HTR2 [HSA:3356 3357 3358] [KO:K04157]  |  HRH1 [HSA:3269] [KO:K04149]  |  ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]  |  DRD2 [HSA:1813] [KO:K04145]  |  CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]; Enzyme: CYP2D6 [HSA:1565];
D00271; Diabinese (TN); ABCC8 (SUR1) [HSA:6833] [KO:K05032];;
D00272; Thalitone (TN); SLC12A3 (TSC) [HSA:6559] [KO:K14426];; 
D00273; Vistide (TN); DNA polymerase; Transporter: SLC22A6 [HSA:9356]; 
D00274; Cisapride (USAN/INN); HTR4 [HSA:3360] [KO:K04160]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551]; 
D00275; Platinol (TN);; Transporter: SLC22A2 [HSA:6582];
D00276; Biaxin (TN); 50S ribosomal subunit; Enzyme: CYP3A4 [HSA:1576];
D00277; Cleocin (TN); 50S ribosomal subunit;; 
D00278; Lamprene (TN);;;
D00279; Atromid-S (TN); NR1C1 (PPARA) [HSA:5465] [KO:K07294];; 
D00280; Klonopin (TN); GABRA/GABRB/GABRD/GABRE/GABRG/GABRP/GABRQ [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192];; 
D00281; Catarpres-TTS (TN); ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140];; 
D00282; Mycelex (TN); sterol 14alpha-demethylase [KO:K05917];; 
D00283; Clozaril (TN); HTR1A [HSA:3350] [KO:K04153]  |  HTR2A [HSA:3356] [KO:K04157]  |  HTR2C [HSA:3358] [KO:K04157]  |  HTR7 [HSA:3363] [KO:K04163]  |  ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]  |  DRD2 [HSA:1813] [KO:K04145]  |  DRD4 [HSA:1815] [KO:K04147]; Enzyme: CYP1A2 [HSA:1544], CYP3A4 [HSA:1576];
D00284; Cortrosyn (TN); MC1R [HSA:4157] [KO:K04199]  |  MC2R [HSA:4158] [KO:K04200]  |  MC3R [HSA:4159] [KO:K04201]  |  MC4R [HSA:4160] [KO:K04202]  |  MC5R [HSA:4161] [KO:K04203];; 
D00285; Septra (TN);;;
D00286; Cyclospasmol (TN);;;
D00287; Neosar (TN); DNA; Enzyme: CYP2A6 [HSA:1548], CYP2B6 [HSA:1555], CYP2C8 [HSA:1558], CYP2C9 [HSA:1559], CYP3A4 [HSA:1576]; 
D00288; DTIC-Dome (TN);;; 
D00289; Danocrine (TN); NR3C4 (AR) [HSA:367] [KO:K08557]  |  NR3C3 (PGR) [HSA:5241] [KO:K08556];; 
D00290; Declomycin (TN); 30S ribosomal subunit;; 
D00291; Desmopressin (INN); AVPR1A [HSA:552] [KO:K04226]  |  AVPR1B [HSA:553] [KO:K04227]  |  AVPR2 [HSA:554] [KO:K04228]  |  F8 [HSA:2157] [KO:K03899];; 
D00292; Maxidex (TN); NR3C1 (GR) [HSA:2908] [KO:K05771]; Enzyme: CYP3A4 [HSA:1576], CYP3A5 [HSA:1577], CYP3A7 [HSA:1551];
D00293; Valium (TN); GABRA/GABRB/GABRD/GABRE/GABRG/GABRP/GABRQ [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]; Enzyme: CYP2C18 [HSA:1562], CYP2C19 [HSA:1557], CYP3A4 [HSA:1576];
D00294; Hyperstat (TN); ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004];; 
D00295; Tagamet (TN); HRH2 [HSA:3274] [KO:K04150]; Enzyme: CYP1A2 [HSA:1544], CYP2C9 [HSA:1559], CYP2D6 [HSA:1565], CYP3A4 [HSA:1576] |  Transporter: SLC22A2 [HSA:6582];
D00296; Videx (TN); RNA-directed DNA polymerase;; 
