edge name,provenance
IL23/IL23R/JAK2/TYK2 (ACTIVATION) IFN-gamma,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) CD4,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) CD3E,pid
IL23/IL23R/JAK2/TYK2 (ACTIVATION) TNF,pid
STAT5 (dimer)-active (ACTIVATION) CCL2,pid
STAT5 (dimer)-active (ACTIVATION) OSM,pid
STAT5 (dimer)-active (ACTIVATION) IL4,pid
STAT5 (dimer)-active (ACTIVATION) FOS,pid
STAT5 (dimer)-active (ACTIVATION) FOXP3,pid
STAT5 (dimer)-active (ACTIVATION) FASLG,pid
STAT5 (dimer)-active (ACTIVATION) IL2R alpha,pid
STAT5 (dimer)-active (ACTIVATION) PIM1,pid
STAT5 (dimer)-active (ACTIVATION) PVT1,pid
EGR2 (INHIBITION) IL2,pid
EGR2 (ACTIVATION) FASLG,pid
EGR2 (ACTIVATION) FCER2,pid
NFAT1-c-4-active (ACTIVATION) EGR2,pid
NFAT1-c-4-active (ACTIVATION) EGR3,pid
HIF2A/ARNT (ACTIVATION) TWIST1,pid
HIF2A/ARNT (ACTIVATION) EPO,pid
HIF2A/ARNT (ACTIVATION) VEGFA,pid
HIF2A/ARNT (ACTIVATION) CITED2,pid
TWIST1 (INHIBITION) HES1,pid
E-cad-CTF2/p120 catenin/Kaiso (ACTIVATION) MMP7,pid
Kaiso (INHIBITION) MMP7,pid
Kaiso (PART_OF) E-cad-CTF2/p120 catenin/Kaiso,PathwayCommons
SRF (ACTIVATION) FHL2,pid
SRF (PART_OF) ELK1/SRF,PathwayCommons
SRF (ACTIVATION) FOS,pid
HGF (ACTIVATION) MMP9,CTD
AR/T-DHT (ACTIVATION) FHL2,pid
TIMP1 (INHIBITION) MMP9,CTD
JUND (dimer) (ACTIVATION) TIMP1,pid
STAT3 (dimer) (ACTIVATION) TIMP1,pid
STAT3 (dimer) (ACTIVATION) CRP,pid
STAT3 (dimer) (ACTIVATION) IFN-gamma,pid
STAT3 (dimer) (ACTIVATION) IRF1,pid
STAT3 (dimer) (ACTIVATION) IL17,pid
STAT3 (dimer) (ACTIVATION) RNASEH2A,pid
STAT3 (dimer) (ACTIVATION) PVT1,pid
STAT3 (dimer) (ACTIVATION) TNFSF11,pid
JUN/FOS (ACTIVATION) TIMP1,pid
JUN/FOS (ACTIVATION) TGFB1,pid
JUN/FOS (INHIBITION) p53,pid
JUN/FOS (ACTIVATION) IL2,pid
JUN/FOS (ACTIVATION) IL5,pid
JUN/FOS (INHIBITION) FOS,pid
JUN/FOS (ACTIVATION) Fra2,pid
JUN/FOS (ACTIVATION) IFN-gamma,pid
JUN/FOS (ACTIVATION) GR,pid
JUN/FOS (ACTIVATION) ETS1,pid
JUN/FOS (ACTIVATION) CXCL8,pid
JUN/FOS (ACTIVATION) TCF7L2,pid
STAT3 (dimer)-active (ACTIVATION) PLA2G4A,pid
HES1 (INHIBITION) PTGDS,pid
HES1 (INHIBITION) HES1,pid
HES1 (PART_OF) HES1/HEY1-2,PathwayCommons
HES1 (PART_OF) HES1/Myb,PathwayCommons
HIF1A/ARNT (ACTIVATION) PFKFB3,pid
HIF1A/ARNT (ACTIVATION) TF,pid
HIF1A/ARNT (ACTIVATION) TERT,pid
HIF1A/ARNT (ACTIVATION) EPO,pid
HIF1A/ARNT (ACTIVATION) HK2,pid
HIF1A/ARNT (ACTIVATION) HMOX1,pid
HIF1A/ARNT (ACTIVATION) PKM,pid
HIF1A/ARNT (ACTIVATION) CXCR4,pid
HIF1A/ARNT (ACTIVATION) ENO1,pid
HIF1A/ARNT (ACTIVATION) ETS1,pid
HIF1A/ARNT (ACTIVATION) NPM1,pid
HIF1A/ARNT (ACTIVATION) CITED2,pid
HIF1A/ARNT (ACTIVATION) BHLHE41,pid
HIF1A/ARNT (ACTIVATION) CXCL12,pid
HIF1A/ARNT (ACTIVATION) CA9,pid
HIF1A/ARNT (ACTIVATION) EDN1,pid
EGR3 (INHIBITION) IL2,pid
EGR3 (ACTIVATION) FASLG,pid
p70S6K (ACTIVATION) TGFB1,pid
TGFB1 (ACTIVATION) THBS2,CTD
TGFB1 (ACTIVATION) COL16A1,CTD
TGFB1 (INHIBITION) COL1A1,CTD
TGFB1 (INHIBITION) COL3A1,CTD
TGFB1 (ACTIVATION) COL5A1,CTD
TGFB1 (ACTIVATION) SSC5D,CTD
TGFB1 (ACTIVATION) MMP28,CTD
TGFB1 (ACTIVATION) GEM,CTD
TGFB1 (ACTIVATION) MRC2,CTD
TGFB1 (ACTIVATION) LOXL1,CTD
TGFB1 (INHIBITION) PRICKLE1,CTD
TGFB1 (ACTIVATION) COL1A2,CTD
TGFB1 (ACTIVATION) COL6A3,CTD
TGFB1 (ACTIVATION) C1QTNF2,CTD
TGFB1 (ACTIVATION) CCDC80,CTD
TGFB1 (ACTIVATION) CDH11,CTD
TGFB1 (INHIBITION) SNAI1,CTD
TGFB1 (ACTIVATION) ANTXR1,CTD
TGFB1 (ACTIVATION) TSHZ3,CTD
TGFB1 (INHIBITION) GGT5,CTD
TGFB1 (ACTIVATION) FBN1,CTD
TGFB1 (ACTIVATION) SRPX,CTD
TGFB1 (ACTIVATION) ECM1,CTD
TGFB1 (ACTIVATION) DPYSL3,CTD
TGFB1 (ACTIVATION) FOXL1,CTD
TGFB1 (ACTIVATION) ITGA11,CTD
TGFB1 (INHIBITION) GAS1,CTD
TGFB1 (ACTIVATION) VCAN,CTD
TGFB1 (ACTIVATION) GLI2,CTD
TGFB1 (INHIBITION) CRISPLD2,CTD
TGFB1 (ACTIVATION) ZNF469,CTD
TGFB1 (ACTIVATION) AEBP1,CTD
TGFB1 (ACTIVATION) PCDH7,CTD
TGFB1 (ACTIVATION) HTRA3,CTD
TGFB1 (INHIBITION) SVEP1,CTD
TGFB1 (ACTIVATION) COL6A2,CTD
TGFB1 (ACTIVATION) FAP,CTD
TGFB1 (ACTIVATION) SEMA3C,CTD
TGFB1 (INHIBITION) LXN,CTD
TGFB1 (ACTIVATION) PHLDB1,CTD
TGFB1 (ACTIVATION) PMEPA1,CTD
TGFB1 (ACTIVATION) FLNA,CTD
TGFB1 (ACTIVATION) ADAMTS12,CTD
TGFB1 (INHIBITION) PLAT,CTD
TGFB1 (ACTIVATION) LAMA1,CTD
TGFB1 (ACTIVATION) BGN,CTD
TGFB1 (ACTIVATION) COL4A2,CTD
TGFB1 (INHIBITION) SCD5,CTD
TGFB1 (ACTIVATION) PDPN,CTD
TGFB1 (ACTIVATION) MMP2,CTD
TGFB1 (ACTIVATION) COL8A1,CTD
TGFB1 (ACTIVATION) HOXB4,CTD
TGFB1 (ACTIVATION) MAP1B,CTD
TGFB1 (ACTIVATION) JAG1,CTD
TGFB1 (ACTIVATION) PDZD4,CTD
TGFB1 (ACTIVATION) SPON1,CTD
TGFB1 (ACTIVATION) LTBP4,CTD
TGFB1 (INHIBITION) HS3ST1,CTD
TGFB1 (INHIBITION) FMOD,CTD
TGFB1 (ACTIVATION) LBH,CTD
TGFB1 (ACTIVATION) ARHGEF10,CTD
TGFB1 (ACTIVATION) FLRT2,CTD
TGFB1 (INHIBITION) UNC5B,CTD
TGFB1 (INHIBITION) THBD,CTD
TGFB1 (INHIBITION) PCBP3,CTD
TGFB1 (ACTIVATION) MARVELD1,CTD
TGFB1 (INHIBITION) NOTCH3,CTD
TGFB1 (ACTIVATION) TNC,CTD
TGFB1 (ACTIVATION) HOXB3,CTD
TGFB1 (INHIBITION) CCDC3,CTD
TGFB1 (ACTIVATION) TAGLN,CTD
TGFB1 (ACTIVATION) NEXN,CTD
TGFB1 (ACTIVATION) PLA2R1,CTD
TGFB1 (ACTIVATION) COL13A1,CTD
TGFB1 (ACTIVATION) CERCAM,CTD
TGFB1 (ACTIVATION) NTM,CTD
TGFB1 (ACTIVATION) ITGA9,CTD
TGFB1 (INHIBITION) PCDH18,CTD
TGFB1 (ACTIVATION) MEIS3,CTD
TGFB1 (ACTIVATION) TNFAIP6,CTD
TGFB1 (ACTIVATION) SCARF2,CTD
TGFB1 (ACTIVATION) COL6A1,CTD
TGFB1 (ACTIVATION) MN1,CTD
TGFB1 (ACTIVATION) P4HA3,CTD
TGFB1 (INHIBITION) PNMA2,CTD
TGFB1 (ACTIVATION) PODNL1,CTD
TGFB1 (ACTIVATION) CTSK,CTD
TGFB1 (INHIBITION) FIBIN,CTD
TGFB1 (INHIBITION) CCL2,CTD
TGFB1 (ACTIVATION) FOXC2,CTD
TGFB1 (ACTIVATION) MYL9,CTD
TGFB1 (ACTIVATION) FOXS1,CTD
TGFB1 (INHIBITION) OLFML2A,CTD
TGFB1 (ACTIVATION) LAMC2,CTD
TGFB1 (ACTIVATION) ARMCX2,CTD
TGFB1 (ACTIVATION) SUSD5,CTD
TGFB1 (ACTIVATION) FSTL1,CTD
TGFB1 (INHIBITION) NGFR,CTD
TGFB1 (ACTIVATION) MSRB3,CTD
TGFB1 (INHIBITION) NALCN,CTD
TGFB1 (ACTIVATION) PRSS23,CTD
TGFB1 (ACTIVATION) RASL11B,CTD
TGFB1 (ACTIVATION) PTGS2,CTD
TGFB1 (ACTIVATION) DACT1,CTD
TGFB1 (INHIBITION) SOD3,CTD
TGFB1 (ACTIVATION) IGF1R,CTD
TGFB1 (ACTIVATION) NRP2,CTD
TGFB1 (ACTIVATION) SLIT3,CTD
TGFB1 (ACTIVATION) MEGF6,CTD
TGFB1 (INHIBITION) CHST4,CTD
TGFB1 (ACTIVATION) EFEMP2,CTD
TGFB1 (ACTIVATION) MYOZ1,CTD
TGFB1 (ACTIVATION) KIF3C,CTD
TGFB1 (INHIBITION) VTCN1,CTD
TGFB1 (ACTIVATION) CREB3L1,CTD
TGFB1 (INHIBITION) CXCL14,CTD
TGFB1 (ACTIVATION) ADAM12,CTD
TGFB1 (ACTIVATION) MDFI,CTD
TGFB1 (ACTIVATION) CRLF1,CTD
TGFB1 (ACTIVATION) SULF2,CTD
TGFB1 (INHIBITION) OSBPL5,CTD
TGFB1 (ACTIVATION) ADAMTSL1,CTD
TGFB1 (ACTIVATION) F3,CTD
TGFB1 (INHIBITION) TMEM130,CTD
TGFB1 (INHIBITION) WISP2,CTD
TGFB1 (ACTIVATION) CNN1,CTD
TGFB1 (INHIBITION) BHLHE41,CTD
TGFB1 (ACTIVATION) FSTL3,CTD
TGFB1 (ACTIVATION) NPTXR,CTD
TGFB1 (ACTIVATION) HGF,CTD
TGFB1 (ACTIVATION) GPR173,CTD
TGFB1 (ACTIVATION) CCDC74A,CTD
TGFB1 (INHIBITION) ITGBL1,CTD
TGFB1 (ACTIVATION) MBOAT2,CTD
TGFB1 (ACTIVATION) PDLIM3,CTD
TGFB1 (INHIBITION) ITGB8,CTD
TGFB1 (ACTIVATION) SAMD11,CTD
TGFB1 (ACTIVATION) PLCB4,CTD
TGFB1 (ACTIVATION) TIMP1,CTD
TGFB1 (ACTIVATION) FZD10,CTD
TGFB1 (INHIBITION) STMN3,CTD
TGFB1 (ACTIVATION) PDLIM4,CTD
TGFB1 (ACTIVATION) NACAD,CTD
TGFB1 (ACTIVATION) HHIP,CTD
TGFB1 (ACTIVATION) RRAD,CTD
TGFB1 (ACTIVATION) MFAP2,CTD
TGFB1 (ACTIVATION) NUDT11,CTD
TGFB1 (INHIBITION) PLA2G4A,CTD
TGFB1 (ACTIVATION) TMEM200A,CTD
TGFB1 (INHIBITION) FGF1,CTD
TGFB1 (INHIBITION) LIMCH1,CTD
TGFB1 (ACTIVATION) JAM2,CTD
TGFB1 (INHIBITION) LTC4S,CTD
TGFB1 (INHIBITION) PRSS22,CTD
TGFB1 (ACTIVATION) LHX6,CTD
TGFB1 (ACTIVATION) GPR161,CTD
TGFB1 (ACTIVATION) MYOCD,CTD
TGFB1 (ACTIVATION) ADAMTS1,CTD
TGFB1 (ACTIVATION) CTHRC1,CTD
TGFB1 (INHIBITION) BASP1,CTD
TGFB1 (ACTIVATION) SERPINE2,CTD
TGFB1 (ACTIVATION) CHST1,CTD
TGFB1 (ACTIVATION) GJA5,CTD
TGFB1 (INHIBITION) GPRC5A,CTD
TGFB1 (INHIBITION) ANK3,CTD
TGFB1 (ACTIVATION) FBLN5,CTD
TGFB1 (ACTIVATION) SLC4A3,CTD
TGFB1 (INHIBITION) ST6GALNAC1,CTD
TGFB1 (ACTIVATION) TGFB1,CTD
TGFB1 (ACTIVATION) TMEM132A,CTD
TGFB1 (ACTIVATION) UBASH3B,CTD
TGFB1 (ACTIVATION) TANC2,CTD
TGFB1 (INHIBITION) CRABP2,CTD
TGFB1 (INHIBITION) TACSTD2,CTD
TGFB1 (INHIBITION) APOBEC3C,CTD
TGFB1 (ACTIVATION) MAMDC2,CTD
TGFB1 (ACTIVATION) CORO2B,CTD
TGFB1 (ACTIVATION) TWIST2,CTD
TGFB1 (ACTIVATION) ZNF853,CTD
TGFB1 (INHIBITION) SMOC2,CTD
TGFB1 (ACTIVATION) TMSB15B,CTD
TGFB1 (INHIBITION) ISYNA1,CTD
TGFB1 (ACTIVATION) RUNX1T1,CTD
TGFB1 (ACTIVATION) TGFB2,CTD
TGFB1 (INHIBITION) PADI2,CTD
TGFB1 (ACTIVATION) HAPLN3,CTD
TGFB1 (ACTIVATION) ALOX5AP,CTD
TGFB1 (ACTIVATION) CCBE1,CTD
TGFB1 (ACTIVATION) SLCO2A1,CTD
TGFB1 (ACTIVATION) GPC4,CTD
TGFB1 (ACTIVATION) PLXNA4,CTD
TGFB1 (ACTIVATION) KIAA1755,CTD
TGFB1 (ACTIVATION) PTHLH,CTD
TGFB1 (INHIBITION) RHOV,CTD
TGFB1 (ACTIVATION) ITGB6,CTD
TGFB1 (INHIBITION) IL6,CTD
TGFB1 (INHIBITION) CRYAB,CTD
TGFB1 (INHIBITION) KRT19,CTD
TGFB1 (INHIBITION) KRT80,CTD
TGFB1 (INHIBITION) RAB25,CTD
TGFB1 (ACTIVATION) SLC22A17,CTD
TGFB1 (ACTIVATION) DUSP4,CTD
TGFB1 (ACTIVATION) ARSI,CTD
TGFB1 (INHIBITION) FA2H,CTD
TGFB1 (ACTIVATION) CTTNBP2,CTD
TGFB1 (INHIBITION) PROM2,CTD
TGFB1 (ACTIVATION) FZD7,CTD
TGFB1 (INHIBITION) MACC1,CTD
TGFB1 (ACTIVATION) GDF6,CTD
TGFB1 (INHIBITION) PTGES,CTD
TGFB1 (INHIBITION) KCNK15,CTD
TGFB1 (ACTIVATION) GLIS3,CTD
TGFB1 (INHIBITION) ARHGEF4,CTD
TGFB1 (ACTIVATION) SH3RF3,CTD
TGFB1 (INHIBITION) WNT10A,CTD
TGFB1 (ACTIVATION) KLHDC8A,CTD
TGFB1 (INHIBITION) KCNH3,CTD
TGFB1 (ACTIVATION) IL7R,CTD
TGFB1 (INHIBITION) OSR1,CTD
TGFB1 (ACTIVATION) CCDC74B,CTD
TGFB1 (INHIBITION) WNK2,CTD
TGFB1 (INHIBITION) RASAL1,CTD
TGFB1 (ACTIVATION) KRT7,CTD
TGFB1 (ACTIVATION) SRRM3,CTD
TGFB1 (ACTIVATION) GREM1,CTD
TGFB1 (ACTIVATION) FLNC,CTD
TGFB1 (INHIBITION) WNT4,CTD
TGFB1 (ACTIVATION) HMCN1,CTD
TGFB1 (INHIBITION) LYPD6B,CTD
TGFB1 (INHIBITION) TMC4,CTD
TGFB1 (INHIBITION) EPCAM,CTD
TGFB1 (INHIBITION) MUC1,CTD
TGFB1 (ACTIVATION) ANKRD1,CTD
TGFB1 (ACTIVATION) MFAP5,CTD
TGFB1 (ACTIVATION) COL22A1,CTD
TGFB1 (INHIBITION) GGT6,CTD
TGFB1 (ACTIVATION) RAP1GAP2,CTD
TGFB1 (INHIBITION) PRSS16,CTD
TGFB1 (INHIBITION) TMPRSS13,CTD
TGFB1 (INHIBITION) FRAS1,CTD
TGFB1 (INHIBITION) ZG16B,CTD
TGFB1 (INHIBITION) SUSD2,CTD
TGFB1 (INHIBITION) KCNH2,CTD
TGFB1 (ACTIVATION) FAM167A,CTD
TGFB1 (ACTIVATION) CXCL5,CTD
TGFB1 (INHIBITION) OLR1,CTD
TGFB1 (INHIBITION) CAPN6,CTD
TGFB1 (INHIBITION) TRPV4,CTD
TGFB1 (ACTIVATION) VLDLR,CTD
TGFB1 (INHIBITION) ARHGAP8,CTD
TGFB1 (INHIBITION) ATP2C2,CTD
TGFB1 (INHIBITION) SGPP2,CTD
TGFB1 (ACTIVATION) PPP2R2C,CTD
TGFB1 (ACTIVATION) GRAMD1B,CTD
TGFB1 (INHIBITION) GPM6A,CTD
TGFB1 (ACTIVATION) APLP1,CTD
TGFB1 (INHIBITION) PI3,CTD
TGFB1 (INHIBITION) SAMD5,CTD
TGFB1 (ACTIVATION) FAM171A1,CTD
TGFB1 (INHIBITION) TMC5,CTD
TGFB1 (INHIBITION) KLF15,CTD
TGFB1 (INHIBITION) MLXIPL,CTD
TGFB1 (INHIBITION) VSNL1,CTD
TGFB1 (ACTIVATION) TF,CTD
TGFB1 (INHIBITION) DCXR,CTD
TGFB1 (INHIBITION) PROC,CTD
TGFB1 (INHIBITION) SLC47A1,CTD
TGFB1 (INHIBITION) PCP4L1,CTD
TGFB1 (INHIBITION) HSD17B3,CTD
TGFB1 (INHIBITION) SULT1E1,CTD
TGFB1 (ACTIVATION) PCOLCE2,CTD
TGFB1 (ACTIVATION) SLC22A3,CTD
TGFB1 (ACTIVATION) ADGRA2,CTD
TGFB1 (ACTIVATION) MEDAG,CTD
TGFB1 (ACTIVATION) ARHGEF25,CTD
TGFB1 (ACTIVATION) PXN,CTD
TGFB1 (ACTIVATION) GALNT16,CTD
TGFB1 (INHIBITION) TNNC1,CTD
TGFB1 (ACTIVATION) FLG,CTD
TGFB1 (ACTIVATION) P3H3,CTD
TGFB1 (INHIBITION) GUCY1A1,CTD
TGFB1 (ACTIVATION) TENM4,CTD
TGFB1 (INHIBITION) GUCY1B1,CTD
TGFB1 (ACTIVATION) SHISAL1,CTD
TGFB1 (ACTIVATION) SLC25A37,CTD
TGFB1 (INHIBITION) GALNT15,CTD
TGFB1 (INHIBITION) PTPRQ,CTD
TGFB1 (INHIBITION) HK2,CTD
TGFB1 (INHIBITION) BICDL2,CTD
TGFB1 (ACTIVATION) FMNL3,CTD
TGFB1 (INHIBITION) CPA4,CTD
TGFB1 (ACTIVATION) MISP,CTD
TGFB1 (ACTIVATION) KCTD11,CTD
TGFB1 (INHIBITION) IFN-gamma,pid
TGFB1 (ACTIVATION) IL17,pid
TGFB1 (ACTIVATION) SRF,CTD
TGFB1 (INHIBITION) FOXA2,CTD
TGFB1 (INHIBITION) E2F1,CTD
TGFB1 (ACTIVATION) NOG,CTD
TGFB1 (INHIBITION) ACTA2,CTD
TGFB1 (INHIBITION) IL1B,CTD
TGFB1 (ACTIVATION) ABL1,CTD
TGFB1 (INHIBITION) ESR1,CTD
TGFB1 (INHIBITION) BID,CTD
TGFB1 (ACTIVATION) HMOX1,CTD
TGFB1 (INHIBITION) AKR1B10,CTD
TGFB1 (ACTIVATION) VEGFA,CTD
TGFB1 (INHIBITION) CALD1,CTD
TGFB1 (INHIBITION) CA9,CTD
TGFB1 (INHIBITION) AHR,CTD
TGFB1 (ACTIVATION) IL1A,CTD
TGFB1 (ACTIVATION) HMGB1,CTD
TGFB1 (ACTIVATION) NGF,CTD
TGFB1 (ACTIVATION) TLR2,CTD
TGFB1 (ACTIVATION) EDN1,CTD
TGFB1 (INHIBITION) PPARG,CTD
TGFB1 (ACTIVATION) VEGFC,CTD
TGFB1 (INHIBITION) PRODH,CTD
TGFB1 (ACTIVATION) IGF2,CTD
TGFB1 (ACTIVATION) CTNNB1,CTD
TGFB1 (ACTIVATION) FN1,CTD
TGFB1 (ACTIVATION) HIF1A,CTD
TGFB1 (ACTIVATION) CSF2,CTD
TGFB1 (ACTIVATION) ICAM1,CTD
TGFB1 (INHIBITION) NQO1,CTD
